ID azienda,Area of Activity,EMTAK Code,NACE Code,Source
1038,"Other professional, scientific and technical activities n.e.c.",74901 (EMTAK 2008),74.9,Annual report
1039,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.2,Electronic submission
1042,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,Annual report
1043,Other software publishing,58291 (EMTAK 2008),58.29,Electronic submission
1044,Advertising agencies,73111 (EMTAK 2008),73.11,Annual report
1045,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report
1049,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.2,Annual report
1050,Other personal service activities n.e.c.,9609 (EMTAK 2008),96.09,Annual report
1051,Management of real estate on a fee or contract basis,6832 (EMTAK 2008),68.32,Annual report
1052,Wholesale of perfume and cosmetics,46451 (EMTAK 2008),46.45,Electronic submission
1053,Other building completion and finishing,43391 (EMTAK 2008),43.39,Annual report
1054,Repair of consumer electronics,95211 (EMTAK 2008),95.21,Electronic submission
1056,Maintenance and repair of motor vehicles,4520 (EMTAK 2008),45.2,Electronic submission
1058,Pet care services,96091 (EMTAK 2008),96.09,Electronic submission
1059,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.2,Annual report
1060,Other building completion and finishing,43391 (EMTAK 2008),43.39,Annual report
1061,Other building completion and finishing,43391 (EMTAK 2008),43.39,Annual report
1062,Other engineering-technical activities,71129 (EMTAK 2008),71.12,Annual report
1063,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.2,Annual report
1064,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission
1066,Activity of institutions providing alternative care service,87901 (EMTAK 2008),87.9,Annual report
1067,"Bookkeeping, tax consulting",69202 (EMTAK 2008),69.2,Annual report
1069,Computer consultancy activities,62021 (EMTAK 2008),62.02,Annual report
1070,Growing of other perennial crops,01291 (EMTAK 2008),1.29,Annual report
1074,Support services to forestry,02401 (EMTAK 2008),2.4,Annual report
1077,Temporary employment agency activities,78201 (EMTAK 2008),78.2,Electronic submission
1078,Manufacture of other metal structures and parts of structures,25119 (EMTAK 2008),25.11,Electronic submission
1080,"Other retail sale not in stores, stalls or markets",47991 (EMTAK 2008),47.99,Electronic submission
1081,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Annual report
1084,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,Electronic submission
1085,"Trusts, funds and similar financial entities",64301 (EMTAK 2008),64.3,Annual report
1087,Language training,85591 (EMTAK 2008),85.59,Annual report
1088,Language training,85591 (EMTAK 2008),85.59,Electronic submission
1089,"Production and presentation of live concerts, musical creation and other similar activities",90012 (EMTAK 2008),90.01,Annual report
1090,Manufacture of other metal structures and parts of structures,25119 (EMTAK 2008),25.11,Annual report
1091,Retail sale of clothing in specialised stores,47711 (EMTAK 2008),47.71,Annual report
1095,Buying and selling of own real estate,68101 (EMTAK 2008),68.1,Annual report
1096,Buying and selling of own real estate,68101 (EMTAK 2008),68.1,Statistics Estonia
1098,Freight transport by road,49411 (EMTAK 2008),49.41,Annual report
1100,Manufacture of other metal structures and parts of structures,25119 (EMTAK 2008),25.11,Annual report
1101,Travel agency activities,79111 (EMTAK 2008),79.11,Annual report
1103,Rental and leasing of cars and light motor vehicles,77111 (EMTAK 2008),77.11,Annual report
1104,"Accounting, bookkeeping and auditing activities; tax consultancy",6920 (EMTAK 2008),69.2,Annual report
1105,"Retail sale of computers, peripheral units and software in specialised stores",47411 (EMTAK 2008),47.41,Annual report
1106,Wholesale trade of motor vehicle parts and accessories,45311 (EMTAK 2008),45.31,Electronic submission
1108,Retail trade of motor vehicle parts and accessories,45321 (EMTAK 2008),45.32,Annual report
1109,Buying and selling of own real estate,68101 (EMTAK 2008),68.1,Annual report
1110,Agents involved in the sale of a variety of goods,46191 (EMTAK 2008),46.19,Annual report
1111,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Electronic submission
1112,Wholesale of wood and products for the first-stage processing of wood,46731 (EMTAK 2008),46.73,Annual report
