Company ID,Category,Hash
334,Gambling,-3256085164464164845
334,Entertainment,-5311217246468775200
335,Railways,463459621687010117
335,Transportation,3140530495907979414
335,Infrastructure,2757938290564691464
336,Food,-1791250089609384727
337,Internet,9213653917245580410
337,ECommerce,-6817648621524646992
337,Tech,2373442895034963753
338,Restaurantchains,8667423472038992413
338,Food,-1791250089609384727
339,Carretail,8678176018572341209
339,Retail,8659073855545147165
340,Internet,9213653917245580410
340,Usedcarretailer,478601098661270227
340,Carretail,8678176018572341209
342,Healthcare,4999567491202240723
343,Professionalservices,2898755620386977973
343,Engineering,7526853480566394029
344,Tech,2373442895034963753
344,TechHardware,1748841266191066881
344,Semiconductors,7893943476131326539
345,Agriculture,5069297574132306034
345,Chemicals,1532779266960090644
346,Chemicals,1532779266960090644
350,RentalLeasingServices,8509650716500142439
352,Insurance,7000230057071041224
352,Investment,5327786409141802125
353,Clothing,-4644728342255861508
353,Footwear,3919027092552316727
354,Airlines,-6774808088778716647
354,Travel,2883696693193604344
354,Transportation,3140530495907979414
355,Healthcare,4999567491202240723
356,Advertising,7742423205113412157
357,AutomotiveSuppliers,-1093391624519020231
358,Buildingmaterials,7986863683299917669
362,Food,-1791250089609384727
363,Semiconductors,7893943476131326539
363,Tech,2373442895034963753
364,WasteRecycling,4111722913158069628
365,Banks,5423772148476418639
365,Financialservices,996514602531674170
366,Financialservices,996514602531674170
367,Aerospace,836579566703634303
371,Medicaldevices,-2739338454252634078
372,Internet,9213653917245580410
372,Travel,2883696693193604344
372,OnlineTravel,2474690842533498415
372,Tech,2373442895034963753
373,ScientificTechnicalInstruments,2033596973466528053
373,Tech,2373442895034963753
374,Financialservices,996514602531674170
374,Banks,5423772148476418639
375,Banks,5423772148476418639
375,Financialservices,996514602531674170
376,Chemicals,1532779266960090644
377,Transportation,3140530495907979414
378,Pharmaceuticals,8926960006196816921
378,Biotech,-5477649158227911950
380,Telecommunicationsequipment,-7218120107949221687
381,Semiconductors,7893943476131326539
381,Tech,2373442895034963753
